#front|back
的|對 ， 是 我的 。<br /><br />duì, shì wǒde·.<br /><br />Yes, they are [mine].
菲|菲律賓 說 很多種 語言 。<br /><br />fēilǜbīn shuō hěnduōzhǒng yǔyán.<br /><br />Many different languages are spoken in the Philippines.
瓦|阿圖羅 在 哈瓦那 出生 。<br /><br />ātúluó zài hāwǎnà chūshēng.<br /><br />Arturo was born in Havana.
擦|他 爬出 游泳池 ， 並 拿 毛巾 把 身體 擦乾 。<br /><br />tā páchū yóuyǒngchí, bìng ná máojīn bǎ shēntǐ cāgān.<br /><br />She climbed out of the swimming pool and dried herself off with a towel.
埋|墓地 是 人們 被 埋葬的 地方 。<br /><br />mùde· shì rénmen bèi máizàngde· dìfāng.<br /><br />A cemetery is a place where people are buried.
摔|我 看到 他 從 他的 腳踏車上 摔下來 。<br /><br />wǒ kàndào tā cóng tāde· jiǎotàchēshàng shuāixiàlái.<br /><br />I saw him fall off his bike.
渡|我們 去年 沒有 渡假 。<br /><br />wǒmen qùnián méiyǒu dùjià.<br /><br />We didn't take a vacation last year.
衫|襯衫 已經 被 燙過了 。<br /><br />chènshān yǐjīng bèi tàngguòle·.<br /><br />The shirts have been ironed. > The shirts got ironed.
跨|你 曾經 跨越過 赤道 嗎 ？<br /><br />nǐ céngjīng kuàyuèguò chìdào mā?<br /><br />Have you ever crossed the equator?
醉|我 手術時 沒有 意識 。 醫生 有幫 我 打 麻醉 。<br /><br />wǒ shǒushùshí méiyǒu yìshì. yīshēng yǒubāng wǒ dǎ mázuì.<br /><br />I wasn't conscious during the operation. The doctors had given me anesthesia.
掩|警方 意外地 開槍 打死了 一名 男子 。 他們 試圖 掩蓋 究竟 發生了 什麼 事 ， 但 卻 成了 一大 醜聞 。<br /><br />jǐngfāng yìwàide· kāiqiāng dǎsǐle· yìmíng nánzǐ. tāmen shìtú yǎngài jiùjìng fāshēngle· shéme shì, dàn què chéngle· yídà chǒuwén.<br /><br />The police accidentally shot and killed a man. They tried to cover up what really happened, but it became a big scandal.
荷|你 覺得 荷黑 今天晚上 會打給 我們 嗎 ？<br /><br />nǐ juéde héhēi jīntiānwǎnshàng huìdǎgěi wǒmen mā?<br /><br />Do you think Jorge will call us tonight?
桑|繁  桑多 那時 在 開車 。<br /><br />sāngduō nàshí zài kāichē.<br /><br />Santo was in his car driving.
蓮|蓮花 讀書 讀得 不夠多 。 她 應該 再 努力點 。<br /><br />liánhuā dúshū dúdé búgòuduō. tā yīnggāi zài nǔlìdiǎn.<br /><br />Yeonhwa doesn't study enough. She should study harder.
鑽|鑽石 不便宜 。<br /><br />zuānshí bùpiányí.<br /><br />Diamonds are not cheap.
宏|你 認識 建宏的 妹妹 嗎 ？<br /><br />nǐ rènshì jiànhóngde· mèimei· mā?<br /><br />Do you know Jianhong's sister?
娃|希爾娃 全家 禮拜五 都在 家 。他們 應該 不用 上班。<br /><br />xīěrwá quánjiā lǐbàiwǔ dōuzài jiā. tāmen yīnggāi búyòng shàngbān.<br /><br />The Silvas are always home on Fridays. They must not work then.
凱|今天 是 凱莉的 生日 。 她 二十七歲 了 。<br /><br />jīntiān shì kǎilìde· shēngrì. tā èrshíqīsuì le·.<br /><br />It's Kelly's birthday today. She's twenty-seven (27).
障|對 ， 它 壞了 。 它 故障了 。<br /><br />duì, tā huàile·. tā gùzhàngle·.<br /><br />No, it's broken.
貓|我 比較 想要 狗 ， 不想要 貓 。<br /><br />wǒ bǐjiào xiǎngyào gǒu, bùxiǎngyào māo.<br /><br />I'd rather have a dog than a cat.
醜|一家 石油公司 所發生的 醜聞 叫做 「石油公司 醜聞」。<br /><br />yìjiā shíyóugōngsī suǒfāshēngde· chǒuwén jiàozuò 「shíyóugōngsīchǒuwén」.<br /><br />A scandal involving an oil company is an oil company scandal.
暖|昨天 天氣 很好。 很溫暖 ，而且 有出 太陽 。<br /><br />zuótiān tiānqì hěnhǎo. hěnwēnnuǎn, érqiě yǒuchū tàiyáng.<br /><br />It was a nice day yesterday. It was warm and sunny.
鍋|請把 鍋子 裝滿 水 ， 然後 放到 爐子上 燒開 。<br /><br />qǐngbǎ guōzǐ zhuāngmǎn shuǐ, ránhòu fàngdào lúzǐshàng shāokāi.<br /><br />Please fill this pot with water and put it on the stove to boil.
罰|那位 造成 車禍的 司機 被 罰款 台幣 一萬 五 千 元 。<br /><br />nàwèi zàochéng chēhuòde· sījī bèi fákuǎn táibì yíwàn wǔqiān yuán.<br /><br />The driver who caused the accident was fined five hundred dollars ($500). > The driver who caused the accident was fined four hundred euros (€400).
濃|你 喜歡 很濃的 黑咖啡 嗎 ？<br /><br />nǐ xǐhuān hěnnóngde· hēikāfēi mā?<br /><br />Do you like strong black coffee?
脈|安第斯山脈 是 在 南美洲的 高山 。<br /><br />āndìsīshānmài shì zài nánměizhōude· gāoshān.<br /><br />The Andes are mountains in South America.
鎖|不用 鎖 門 ， 沒關係 。 我 馬上 回來 。<br /><br />búyòng suǒ mén, méiguānxì. wǒ mǎshàng huílái.<br /><br />Don't bother locking the door. I'll be right back.
鄰|我 早上都 沒有看到 鄰居 。 他 一定 很早 就 出去 工作 了 。<br /><br />wǒ zǎoshàngdōu méiyǒukàndào línjū. tā yídìng hěnzǎo jiù chūqù gōngzuò le·.<br /><br />I never see my neighbor in the morning. He must leave for work very early.
芳|伊芳 常常 忘東忘西 。<br /><br />yīfāng chángcháng wàngdōngwàngxī.<br /><br />Yvonne tends to forget things.
姆|法希姆 沒辦法 幫 你 ， 但 我 可以 。<br /><br />fǎxīmǔ méibànfǎ bāng nǐ, dàn wǒ kěyǐ.<br /><br />Fahim can't help you, but I can.
砍|樹 被 砍了 。<br /><br />shù bèi kǎnle·.<br /><br />The trees have been cut down. > The trees got cut down.
駕|她 問 我 有沒有 駕照 。<br /><br />tā wèn wǒ yǒuméiyǒu jiàzhào.<br /><br />She asked if I had a driver's license.
恭|我 恭喜 我的 弟弟 贏得 網球比賽 。<br /><br />wǒ gōngxǐ wǒde· dìdì yíngdé wǎngqiúbǐsài.<br /><br />I congratulated my brother for winning the tennis tournament.
禍|快 看 ！ 有 車禍 。<br /><br />kuài kàn! yǒu chēhuò.<br /><br />Look! There's been an accident.
慈|你 讓 我 想起 我 媽媽的 仁慈 。<br /><br />nǐ ràng wǒ xiǎngqǐ wǒ māmāde· réncí.<br /><br />You remind me of my mother's kindness.
覽|我們 很快 就 進去 展覽 了 ， 沒有 排隊 。<br /><br />wǒmen hěnkuài jiù jìnqù zhǎnlǎn le·, méiyǒu páiduì.<br /><br />We got into the exhibition without having to wait in line.
澳|你 是 澳洲人 嗎 ？<br /><br />nǐ shì àozhōurén mā?<br /><br />Are you Australian?
臟|他 死於 心臟病 。<br /><br />tā sǐyú xīnzàngbìng.<br /><br />He died FROM heart disease.
檔|你 應該 隨時 存檔 ， 以防 電腦 突然 當機 。<br /><br />nǐ yīnggāi suíshí cúndàng, yǐfáng diànnǎo tūrán dàngjī.<br /><br />You should always save your files as you're working on them just in case your computer crashes.
惑|當局 對於 爆炸 原因 還是 很困惑 。<br /><br />dāngjú duìyú bàozhà yuányīn háishì hěnkùnhuò.<br /><br />The authorities are still baffled by the cause of the explosion.
肥|瑞絲瑪 放棄 減肥了 。<br /><br />ruìsīmǎ fàngqì jiǎnféile·.<br /><br />Rashmi has given up trying to lose weight.
褲|你 覺得 我的 褲子 要洗 嗎 ？<br /><br />nǐ juéde wǒde· kùzǐ yàoxǐ mā?<br /><br />Do you think my pants need to be washed? > Do you think my pants need washing?
胞|這兩 兄弟 是 同卵雙胞胎 。 所以 大家 常 把 他們 兩個 搞混 。<br /><br />zhèliǎng xiōngdì shì tóngluǎnshuāngbāotāi. suǒyǐ dàjiā cháng bǎ tāmen liǎngge· gǎohùn.<br /><br />The two (2) brothers are identical twins, so everybody gets them mixed up.
杜|優子 常 旅行 。 她 今天 在 法蘭克福 。 明天 她 會在 杜拜 。 下個 禮拜 她 會在 新加坡 。<br /><br />yōuzǐ cháng lǚxíng. tā jīntiān zài fǎlánkèfú. míngtiān tā huìzài dùbài. xiàge· lǐbài tā huìzài xīnjiāpō.<br /><br />Yuko travels a lot. Today she's in Frankfurt. Tomorrow she'll be in Dubai. Next week she'll be in Singapore.
帽|他 戴著 帽子 。<br /><br />tā dàizhe· màozǐ.<br /><br />He's wearing a hat.
瑪|法提瑪 不餓 ， 但 我們 餓 。<br /><br />fǎtímǎ búè, dàn wǒmen è.<br /><br />Fatima wasn't hungry, but we were.
萊|我 叫 布萊恩。<br /><br />wǒ jiào bùláiēn.<br /><br />I'm Brian.
嘗|你 一定 要嘗試 和 集中 精神 。<br /><br />nǐ yídìng yàochángshì hàn jízhōng jīngshén.<br /><br />You have to try and concentrate.
巡|有些 歌手 每年都 會舉辦 巡迴 演唱 。<br /><br />yǒuxiē gēshǒu měiniándōu huìjǔbàn xúnhuí yǎnchàng.<br /><br />Some singers go ON a world tour every year.
池|游泳池的 水 看起來 不乾淨 ， 所以 我們 不游 了 。<br /><br />yóuyǒngchíde· shuǐ kànqǐlái bùgānjìng, suǒyǐ wǒmen bùyóule·.<br /><br />The water in the pool didn't look clean, so we didn't go swimming.
埃|開羅 是 埃及的 首都 。<br /><br />kāiluó shì āijíde· shǒudū.<br /><br />Cairo's the capital of Egypt.
嫁|夏奇拉 嫁給 一個 美國人 ， 現在 她 已婚 而 且 有 兩個 孩子 。<br /><br />xiàqílā jiàgěi yīge· měiguórén, xiànzài tā yǐhūn érqiě yǒu liǎngge· háizǐ.<br /><br />Shakira got married to an American, and now she's married with two (2) children.
厭|繁  你 討厭 我 嗎 ？<br /><br />nǐ tǎoyàn wǒ mā?<br /><br />Do you hate me?
跌|人行道 結冰了 ， 所以 我們 走得 很小心 ， 怕 會跌倒 。<br /><br />rénxíngdào jiébīngle·, suǒyǐ wǒmen zǒudé hěnxiǎoxīn, pà huìdiēdǎo.<br /><br />The sidewalk was icy, so we walked very carefully. We were afraid of falling.
刷|中國人 發明了 印刷術 。<br /><br />zhōngguórén fāmíngle· yìnshuāshù.<br /><br />The Chinese invented printing.
捐|當 莎拉 決定 搬到 印度 開始 新的 生活 ， 她 捐出了 她的 財物 。<br /><br />dāng shālā juédìng bāndào yìndù kāishǐ xīnde· shēnghuó, tā juānchūle· tāde· cáiwù.<br /><br />When Sara decided to move to India and start a new life, she gave away all of her belongings.
遜|亞馬遜 河 在 南美洲 。<br /><br />yǎmǎxùn hé zài nánměizhōu.<br /><br />The Amazon is a river in South America.
踢|繁  他們 正在 踢 足球 。<br /><br />tāmen zhèngzài tī zúqiú.<br /><br />They're playing football.
賠|因此 他 起訴 並 要求 賠償 他的 聲譽 受損 。<br /><br />yīncǐ tā qǐsù bìng yàoqiú péicháng tāde· shēngyù shòusǔn.<br /><br />So he sued and was awarded compensation for damage to his reputation.
姿|繁  現在 才 九點 ， 但是 依內姿 已經 上床了 。<br /><br />xiànzài cái jiǔdiǎn, dànshì yīnèizī yǐjīng shàngchuángle·.<br /><br />It's only nine o'clock (9:00) and Ines has already gone to bed.
黎|黎拉 沒有 工作 。<br /><br />lílā méiyǒu gōngzuò.<br /><br />Lila doesn't have a job. > Lila hasn't got a job.
襲|我的 朋友 幾天前 被 襲擊 和 毆打 ， 他 還在 住院中 。<br /><br />wǒde· péngyǒu jǐtiānqián bèi xíjí hàn ōudǎ, tā háizài zhùyuànzhōng.<br /><br />A friend of mine was attacked and beaten up a few days ago. He's been in the hospital ever since.
昆|昆蟲 有 六隻 腳 。<br /><br />kūnchóng yǒu liùzhī jiǎo.<br /><br />An insect has six (6) legs.
柏|你 要搬去 柏林 是 真的 嗎 ？<br /><br />nǐ yàobānqù bólín shì zhēnde· mā?<br /><br />Is it true that you're moving to Berlin?
駛|這條 公路 關閉了 。 駕駛人 一定 得 開 別條 路 。<br /><br />zhètiáo gōnglù guānbìle·. jiàshǐrén yídìng děi kāi biétiáo lù.<br /><br />This highway is closed. Drivers must take another road.
植|植物 在 房間的 角落 。<br /><br />zhíwù zài fángjiānde· jiǎoluò.<br /><br />The plant is in the corner of the room.
紐|我 來自 紐約 。<br /><br />wǒ láizì niǔyuē.<br /><br />I'm from New York.
蹤|警察 在找 失蹤的 男孩 。 目擊者 最後 看到 他 走路 回家 。<br /><br />jǐngchá zàizhǎo shīzōngde· nánhái. mùjízhě zuìhòu kàndào tā zǒulù huíjiā.<br /><br />The police are looking for a missing boy. It's believed that he was last seen walking home.
漠|撒哈拉 沙漠 在 非洲北部 。<br /><br />sāhālā shāmò zài fēizhōuběibù.<br /><br />The Sahara is a desert in northern Africa.
銳|你 用 這把 刀 的時候 一定 要小心 。 它 很銳 利 。<br /><br />nǐ yòng zhèbǎ dāo de·shíhòu yídìng yàoxiǎoxīn. tā hěnruìlì.<br /><br />You must be careful with this knife. It's very sharp.
乾|這 城市 一直都 很乾淨 。 街道 每天都 有 被 打掃 。<br /><br />zhè chéngshì yìzhídōu hěngānjìng. jiēdào měitiāndōu yǒu bèi dǎsǎo.<br /><br />This town is always clean. The streets get cleaned every day.
霍|你 覺得 我們 應該要等 霍華德 嗎 ？— 不要， 我們 不要等 他 吧 。<br /><br />nǐ juéde wǒmen yīnggāiyàoděng huòhuádé mā? — búyào, wǒmen búyàoděng tā ba·.<br /><br />Do you think we should wait for Howard? — No, let's not wait for him.
濕|下雨天 的時候 不要出去 ， 不然 你 會 淋濕 。<br /><br />xiàyǔtiān de·shíhòu búyàochūqù, bùrán nǐ huì línshī.<br /><br />Don't go out IN the rain, or else you'll get all wet.
睜|我 累到 眼睛 都 睜不開了 ， 但 我 不能睡 。<br /><br />wǒ lèidào yǎnjīng dōu zhēngbùkāile·, dàn wǒ bùnéngshuì.<br /><br />I tried to keep my eyes open, but I couldn't.
仔|仔細地 讀 這 每一個 句子 。<br /><br />zǐxìde· dú zhè měiyīge· jùzǐ.<br /><br />Read each of these sentences carefully.
吵|我 跟 你 吵得 很累 。 我們 不要 再 這樣 了 。<br /><br />wǒ gēn nǐ chǎodé hěnlèi. wǒmen búyào zài zhèyàng le·.<br /><br />I'm tired of arguing. Let's not do it any more.
溝|我 當時 不會說 當地 語言 ， 所以 溝通 有 障 礙 。<br /><br />wǒ dāngshí búhuìshuō dāngde· yǔyán, suǒyǐ gōutōng yǒu zhàngài.<br /><br />Not being able to speak the local language meant that I had trouble communicating.
墨|她 來自 墨西哥 。<br /><br />tā láizì mòxīgē.<br /><br />She's from Mexico.
串|警察 要問 我們 很多 問題 ， 所以 我們 需要 互相 串通好。<br /><br />jǐngchá yàowèn wǒmen hěnduō wèntí, suǒyǐ wǒmen xūyào hùxiāng chuàntōnghǎo.<br /><br />The police are going to ask us a lot of questions, so we need to back each other up.
俱|如果 你 有興趣 加入 俱樂部 再 告訴 我 。<br /><br />rúguǒ nǐ yǒuxìngqù jiārù jùlèbù zài gàosù wǒ.<br /><br />Let me know if you're interested in joining the club.
贏|你 有贏 嗎 ？<br /><br />nǐ yǒuyíng mā?<br /><br />Did you win?
棒|他 以前 打 棒球 。<br /><br />tā yǐqián dǎ bàngqiú.<br /><br />He used to play baseball.
恆|太陽 ， 這 宇宙中 數以百萬 計的 恆星 之一 ， 為 我們 提供了 熱 和 光 。<br /><br />tàiyáng, zhè yǔzhòuzhōng shùyǐbǎiwàn jìde· héngxīng zhīyī, wèi wǒmen tígōngle· rè hàn guāng.<br /><br />The sun, which is one (1) of millions of stars in the universe, provides us with heat and light.
糟|這 會議的 組織 工作 很糟 。<br /><br />zhè huìyìde· zǔzhī gōngzuò hěnzāo.<br /><br />The conference was badly organized.
賢|我 下個 禮拜 要辦 派對 ， 但是 賢榮 和 孟淑 不能來 。<br /><br />wǒ xiàge· lǐbài yàobàn pàiduì, dànshì xiánróng hàn mèngshū bùnénglái.<br /><br />I'm having a party next week, but Hyeonyeong and Maengsuk can't come.
償|因此 他 起訴 並 要求 賠償 他的 聲譽 受損 。<br /><br />yīncǐ tā qǐsù bìng yàoqiú péicháng tāde· shēngyù shòusǔn.<br /><br />So he sued and was awarded compensation for damage to his reputation.
拆|房子 正在 被 拆除 。<br /><br />fángzǐ zhèngzài bèi chāichú.<br /><br />The houses are being torn down. > The houses are getting torn down.
攝|水 在 攝氏 一百度時 沸騰 。<br /><br />shuǐ zài shèshì yìbǎidùshí fèiténg.<br /><br />Water boils AT a temperature OF one hundred degrees (100º) Celsius.
闖|有人 闖入 我們的 房子 ， 但 沒有 東西 被 偷 。<br /><br />yǒurén chuǎngrù wǒmende· fángzǐ, dàn méiyǒu dōngxī bèi tōu.<br /><br />Somebody broke into our house, but nothing was stolen.
賀|我 祝賀 米拉 得到了 新工作 。<br /><br />wǒ zhùhè mǐlā dédàole· xīngōngzuò.<br /><br />I congratulated Mira on getting a new job.
飽|我的 媽媽 飽受 頭痛之苦 。<br /><br />wǒde· māmā bǎoshòu tóutòngzhīkǔ.<br /><br />My mother suffers from bad headaches.
劫|警方 想詢問 兩名 男子 上週 搶劫的 事情 。<br /><br />jǐngfāng xiǎngxúnwèn liǎngmíng nánzǐ shàngzhōu qiǎngjiéde· shìqíng.<br /><br />The police want to interview two (2) men about the robbery last week.
熙|你 認識 熙婷 很久了 嗎 ？<br /><br />nǐ rènshì xītíng hěnjiǔle· mā?<br /><br />Have you known Heuijeong for a long time?
臥|我 有 一個 大臥室 可以看到 整個 花園 。<br /><br />wǒ yǒu yīge· dàwòshì kěyǐkàndào zhěngge· huāyuán.<br /><br />I have a large bedroom overlooking the garden.
擾|我 不是 故意 打擾 你的 。<br /><br />wǒ búshì gùyì dǎrǎo nǐde·.<br /><br />I didn't mean to annoy you, I didn't do it ON purpose.
莎|剛 開始 沒有人 相信 莎拉 ， 結果 她 是 對的 。<br /><br />gāng kāishǐ méiyǒurén xiāngxìn shālā, jiéguǒ tā shì duìde·.<br /><br />Nobody believed Sara at first, but she turned out to be right.
娜|安娜 在 羅馬 出生 。<br /><br />ānnà zài luómǎ chūshēng.<br /><br />Anna was born in Rome.
玲|建豪 和 雅玲 還沒 跟 大家 說 他們 要結婚了 。<br /><br />jiànháo hàn yǎlíng háiméi gēn dàjiā shuō tāmen yàojiéhūnle·.<br /><br />Geonho and Ayeong haven't told anyone they're getting married yet.
盧|現在 六點 。 盧卡 在 家 看 電視 。<br /><br />xiànzài liùdiǎn. lúkǎ zài jiā kàn diànshì.<br /><br />It's six o'clock (6:00) now. Luka's at home watching TV.
礙|我 當時 不會說 當地 語言 ， 所以 溝通 有 障 礙 。<br /><br />wǒ dāngshí búhuìshuō dāngde· yǔyán, suǒyǐ gōutōng yǒu zhàngài.<br /><br />Not being able to speak the local language meant that I had trouble communicating.
攔|警察 攔下 你 的時候 ， 你 車 開得 多快 ？<br /><br />jǐngchá lánxià nǐ de·shíhòu, nǐ chē kāidé duōkuài?<br /><br />How fast were you driving when the police stopped you?
嫌|嫌犯 對 警方 大吼 。<br /><br />xiánfàn duì jǐngfāng dàhǒu.<br /><br />The suspect was shouting at the police very loudly.
琳|寶琳 結婚了 嗎 ？— 我 覺得 她 還沒。<br /><br />bǎolín jiéhūnle· mā? — wǒ juéde tā háiméi.<br /><br />Is Pauline married? — I don't think she is.
曼|我 叫 艾曼達 。<br /><br />wǒ jiào àimàndá.<br /><br />My name's Amanda.
櫃|她 到了 ， 停好 車 了 ， 走到 航廈 ， 然後 到 櫃台 領票 。<br /><br />tā dàole·, tínghǎo chē le·, zǒudào hángxià, ránhòu dào guìtái lǐngpiào.<br /><br />When she got there, she parked the car, walked to the terminal, and checked in.
禦|他們 穿著 溫暖的 外套 禦寒 。<br /><br />tāmen chuānzhe· wēnnuǎnde· wàitào yùhán.<br /><br />They wore warm clothes to protect themselves from the cold.
艾|我 叫 艾倫 。<br /><br />wǒ jiào àilún.<br /><br />My name's Alan.
姻|保羅 和 茱莉雅娜 結婚了 ， 但 婚姻 沒有 維 持 多久 。<br /><br />bǎoluó hàn zhūlìyǎnà jiéhūnle·, dàn hūnyīn méiyǒu wéichí duōjiǔ.<br /><br />Paolo and Giuliana got married, but the marriage didn't last very long.
攜|以前 人們 隨身攜帶 呼叫器 ， 但 現在 已經 完全 過時了 。<br /><br />yǐqián rénmen suíshēnxīdài hūjiàoqì, dàn xiànzài yǐjīng wánquán guòshíle·.<br /><br />People used to carry pagers around, but they've completely fallen out of use.
扇|有人 打破了 這扇 窗戶 。<br /><br />yǒurén dǎpòle· zhèshàn chuānghù.<br /><br />Somebody's broken this window.
慨|他 非常 慷慨地 捐了 一半的 財產 給 慈善機構 。<br /><br />tā fēicháng kāngkǎide· juānle· yíbànde· cáichǎn gěi císhànjīgòu.<br /><br />He donated half his wealth to charity, which was very generous of him.
筋|我 一整天都 非常 努力地 工作 ， 現在 我 已 經 筋疲力盡 。<br /><br />wǒ yìzhěngtiāndōu fēicháng nǔlìde· gōngzuò, xiànzài wǒ yǐjīng jīnpílìjǐn.<br /><br />I've been working very hard all day, and now I'm exhausted.
卑|阿爾卑斯山 在 歐洲中部。<br /><br />āěrbēisīshān zài ōuzhōuzhōngbù.<br /><br />The Alps are mountains in central Europe.
蟲|昆蟲 有 六隻 腳 。<br /><br />kūnchóng yǒu liùzhī jiǎo.<br /><br />An insect has six (6) legs.
廚|她 九點半 的時候 在打掃 廚房 。<br /><br />tā jiǔdiǎnbàn de·shíhòu zàidǎsǎo chúfáng.<br /><br />At nine thirty (9:30) she was cleaning the kitchen.
疲|炎熱的 天氣 讓 我 感到 疲倦 。<br /><br />yánrède· tiānqì ràng wǒ gǎndào píjuàn.<br /><br />Hot weather makes me feel tired.
暢|雖然 蘿賽塔 還是會 講錯 ， 但 她 英語 已經 說得 很流暢 。<br /><br />suīrán luósàitǎ háishìhuì jiǎngcuò, dàn tā yīngyǔ yǐjīng shuōdé hěnliúchàng.<br /><br />Even though Rosetta still makes mistakes, her English is already very fluent.
孟|因為 孟璇 寫完 作業 了 ， 所以 可以看 電視 了 。<br /><br />yīnwèi mèngxuán xiěwán zuòyè le·, suǒyǐ kěyǐkàn diànshì le·.<br /><br />Mengxuan can watch TV because she's already done her homework.
爐|請把 鍋子 裝滿 水 ， 然後 放到 爐子上 燒開 。<br /><br />qǐngbǎ guōzǐ zhuāngmǎn shuǐ, ránhòu fàngdào lúzǐshàng shāokāi.<br /><br />Please fill this pot with water and put it on the stove to boil.
葬|墓地 是 人們 被 埋葬的 地方 。<br /><br />mùde· shì rénmen bèi máizàngde· dìfāng.<br /><br />A cemetery is a place where people are buried.
遵|腳踏車 跟 車子 一樣 都必須要 遵守 交通規則 。<br /><br />jiǎotàchē gēn chēzǐ yíyàng dōubìxūyào zūnshǒu jiāotōngguīzé.<br /><br />Bicyclists must follow the same traffic rules as drivers.
迪|哈迪亞 等一下 會打 電話 來 。<br /><br />hādíyǎ děngyíxià huìdǎ diànhuà lái.<br /><br />Hadiya's going to call later.
諒|請 原諒 我 沒有 回電 給 你 。<br /><br />qǐng yuánliàng wǒ méiyǒu huídiàn gěi nǐ.<br /><br />Please excuse me for not returning your call.
炎|史帝夫 喜歡 炎熱的 天氣 ， 但 我 不喜歡 。<br /><br />shǐdìfū xǐhuān yánrède· tiānqì, dàn wǒ bùxǐhuān.<br /><br />Steve likes hot weather, but I don't.
役|在 很多的 國家 ， 男性 必須 服兵役 。<br /><br />zài hěnduōde· guójiā, nánxìng bìxū fúbīngyì.<br /><br />In many countries, men must do military service.
吊|嘉斯伯 因為 開車 又 超速 ， 所以 他的 駕照 被 吊銷了 。<br /><br />jiāsībó yīnwèi kāichē yòu chāosù, suǒyǐ tāde· jiàzhào bèi diàoxiāole·.<br /><br />Casper had his license taken away for driving too fast again.
填|填 表格 的時候 記得用 大寫 寫 姓氏 ， 這樣 比較 容易 讀 。<br /><br />tián biǎogé de·shíhòu jìdéyòng dàxiě xiě xìngshì, zhèyàng bǐjiào róngyì dú.<br /><br />When filling out forms, be sure to print your name IN capital letters so it's legible.
嘉|奧嘉 得到 這份 工作 ， 因為 她 會 說 五種 語言 。<br /><br />àojiā dédào zhèfèn gōngzuò, yīnwèi tā huì shuō wǔzhǒng yǔyán.<br /><br />Olga got the job because she can speak five (5) languages.
廈|五角大廈 在 華盛頓特區 。<br /><br />wǔjiǎodàxià zài huáshèngdùntèqū.<br /><br />The Pentagon is in Washington, D.C.
邁|你 明天 會在 邁阿密 嗎？ — 不， 我 不會。<br /><br />nǐ míngtiān huìzài màiāmì mā? — bù, wǒ búhuì.<br /><br />Will you be in Miami tomorrow? — No, I won't.
謹|當 她 結婚後 ， 還是 謹守 秘密 ， 始終 沒有 告訴 任何 朋友 。<br /><br />dāng tā jiéhūnhòu, háishì jǐnshǒu mìmì, shǐzhōng méiyǒu gàosù rènhé péngyǒu.<br /><br />When she got married, she kept it a secret. She didn't tell any of her friends.
昂|他 總是 買 昂貴的 東西 來 炫耀 。<br /><br />tā zǒngshì mǎi ángguìde· dōngxī lái xuànyào.<br /><br />He always buys expensive things to show off.
渴|不會 ， 但 我 會渴 。<br /><br />búhuì, dàn wǒ huìkě.<br /><br />No, but I'm thirsty.
梯|繁  他 摔下 梯子 。<br /><br />tā shuāixià tīzǐ.<br /><br />He fell off the ladder.
耗|我的 車 不太 耗油 。<br /><br />wǒde· chē bútài hàoyóu.<br /><br />My car doesn't use much gas.
蒂|海蒂 不在 晚上 工作 。<br /><br />hǎidì búzài wǎnshàng gōngzuò.<br /><br />Heidi doesn't work at night.
剪|有人 正在 修剪 草皮 。<br /><br />yǒurén zhèngzài xiūjiǎn cǎopí.<br /><br />The grass is being cut. > The grass is getting cut.
弗|繁  艾弗林 有去 派對 嗎 ？— 沒有 ， 她 沒去 。<br /><br />àifúlín yǒuqù pàiduì mā? — méiyǒu, tā méiqù.<br /><br />Did Eveline come to the party? — No, she didn't.
璃|玻璃 是 沙子 做的 。<br /><br />bōlí shì shāzǐ zuòde·.<br /><br />Glass is made from sand.
剎|我們 及時 踩 剎車 ， 沒有 撞到 孩子 。<br /><br />wǒmen jíshí cǎi shāchē, méiyǒu zhuàngdào háizǐ.<br /><br />I hit the brakes just IN time and didn't hit the child.
膚|防曬霜 可以保護 肌膚 ， 免 受 陽光中的 紫外 線 照射 所產生的 不良影響 。<br /><br />fángshàishuāng kěyǐbǎohù jīfū, miǎn shòu yángguāngzhōngde· zǐwàixiàn zhàoshè suǒchǎnshēngde· bùliángyǐngxiǎng.<br /><br />Sunblock protects the skin from the harmful effects of the sun's ultraviolet (UV) rays.
卓|繁  伊斯鐸 和 珊卓 在 這裡 嗎 ？— 沒有 ， 他們 還沒有 到 。<br /><br />yīsīduó hàn shānzhuō zài zhèlǐ mā? — méiyǒu, tāmen háiméiyǒu dào.<br /><br />Are Isidor and Sandra here? — No, they haven't arrived yet.
糖|來吃 糖果 吧 ！<br /><br />láichī tángguǒ ba·!<br /><br />Here, have some candy.
哩|音樂 實在 是 太大聲了 ， 你 可以 在 好幾 英 哩外 聽見 。<br /><br />yīnyuè shízài shì tàidàshēngle·, nǐ kěyǐ zài hǎojǐ yīnglīwài tīngjiàn.<br /><br />The music was so loud that you could hear it from miles away.
塑|收銀員 把 你 買的 東西 放進 塑膠袋 。 你 說 ：「 不好意思 ， 你們 有 紙袋 嗎 ？」<br /><br />shōuyínyuán bǎ nǐ mǎide· dōngxī fàngjìn sùjiāodài. nǐ shuō ：「 bùhǎoyìsī, nǐmen yǒu zhǐdài mā? 」<br /><br />The cashier is putting your groceries in a plastic bag. You say, "Excuse me, don't you have any paper bags?"
珊|哈珊 幾歲 ？<br /><br />hāshān jǐsuì?<br /><br />How old is Hassan?
淋|在下雨 。 我 不想要 出門 淋雨 。<br /><br />zàixiàyǔ. wǒ bùxiǎngyào chūmén línyǔ.<br /><br />It's raining. I don't want to go out in the rain.
敦|我 在 倫敦 出生 。<br /><br />wǒ zài lúndūn chūshēng.<br /><br />I was born in London.
